2025-10-28 09:33:33 | cdmail.fr | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 113.98 ms | Cache MISS
2025-10-28 09:33:33 | cdmail.fr | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 189.84 ms | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.65 ms | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.07 ms | Cache MISS
2025-10-28 09:33:34 | freeditorial.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 181.16 ms | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.76 ms | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 114.39 ms | Cache MISS
2025-10-28 09:33:35 | ciber.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:36 | get-webby.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.84 ms | Cache MISS
2025-10-28 09:33:36 | get-webby.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:36 | get-webby.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 295.43 ms | Cache MISS
2025-10-28 09:33:36 | get-webby.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:36 | get-webby.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 128.81 ms | Cache MISS
2025-10-28 09:33:36 | get-webby.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:37 | gadgetgearpro.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.78 ms | Cache MISS
2025-10-28 09:33:37 | gadgetgearpro.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:37 | gadgetgearpro.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 302.88 ms | Cache MISS
2025-10-28 09:33:37 | gadgetgearpro.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:37 | gadgetgearpro.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 143.90 ms | Cache MISS
2025-10-28 09:33:37 | gadgetgearpro.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:37 | sonoma-marinfair.org | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 200.80 ms | Cache MISS
2025-10-28 09:33:37 | sonoma-marinfair.org | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:37 | sonoma-marinfair.org | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.61 ms | Cache MISS
2025-10-28 09:33:37 | sonoma-marinfair.org | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:37 | sonoma-marinfair.org | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.15 ms | Cache MISS
2025-10-28 09:33:37 | sonoma-marinfair.org | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:38 | ishidatic.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 200.84 ms | Cache MISS
2025-10-28 09:33:38 | ishidatic.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:38 | ishidatic.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 292.31 ms | Cache MISS
2025-10-28 09:33:38 | ishidatic.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:38 | ishidatic.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 125.03 ms | Cache MISS
2025-10-28 09:33:38 | ishidatic.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:39 | minecraftserverdeals.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.71 ms | Cache MISS
2025-10-28 09:33:39 | minecraftserverdeals.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:39 | minecraftserverdeals.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.09 ms | Cache MISS
2025-10-28 09:33:39 | minecraftserverdeals.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:39 | minecraftserverdeals.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 134.36 ms | Cache MISS
2025-10-28 09:33:39 | minecraftserverdeals.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:40 | romney.com | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 180.67 ms | Cache MISS
2025-10-28 09:33:40 | romney.com | Iterative | 198.41.0.4 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:40 | romney.com | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 291.01 ms | Cache MISS
2025-10-28 09:33:40 | romney.com | Iterative | 199.9.14.201 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:40 | romney.com | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 135.04 ms | Cache MISS
2025-10-28 09:33:40 | romney.com | Iterative | 192.33.4.12 | Step: Root | Response: FAIL (0) | RTT: - | Cache MISS
2025-10-28 09:33:41 | gmxwnlajnl | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 178.67 ms | Cache MISS
2025-10-28 09:33:41 | gmxwnlajnl | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 293.65 ms | Cache MISS
2025-10-28 09:33:41 | gmxwnlajnl | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 134.87 ms | Cache MISS
2025-10-28 09:33:42 | djoncbjcmv | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 186.65 ms | Cache MISS
2025-10-28 09:33:42 | djoncbjcmv | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 289.83 ms | Cache MISS
2025-10-28 09:33:42 | djoncbjcmv | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 124.08 ms | Cache MISS
2025-10-28 09:33:43 | mptrmkwart | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 197.11 ms | Cache MISS
2025-10-28 09:33:43 | mptrmkwart | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 299.44 ms | Cache MISS
2025-10-28 09:33:43 | mptrmkwart | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 135.04 ms | Cache MISS
2025-10-28 09:33:44 | djoncbjcmv | Iterative | 198.41.0.4 | Step: Root | Response: Referral | RTT: 186.75 ms | Cache MISS
2025-10-28 09:33:44 | djoncbjcmv | Iterative | 199.9.14.201 | Step: Root | Response: Referral | RTT: 310.87 ms | Cache MISS
2025-10-28 09:33:44 | djoncbjcmv | Iterative | 192.33.4.12 | Step: Root | Response: Referral | RTT: 123.98 ms | Cache MISS
